,CenterLatitude,CenterLongitude
391,54.35885,9.87525
392,54.49735,10.29175
393,55.05865,8.53475
394,57.71255,10.61025
395,57.59945,11.79325
396,57.62165,11.80725
397,57.62085,11.80725
398,57.61995,11.80725
399,57.61915,11.80725
400,57.61835,11.80725
401,57.61755,11.80725
402,57.61675,11.80725
403,57.61585,11.80725
404,57.61505,11.80725
405,57.61425,11.80725
406,57.61295,11.80375
407,57.61235,11.80375
408,57.61175,11.80375
409,57.59955,11.79325
410,57.61095,11.80375
411,57.61045,11.80375
412,57.60995,11.80025
413,57.60955,11.80025
414,57.60905,11.80025
415,57.60885,11.80025
416,57.60855,11.80025
417,57.60815,11.79675
418,57.60785,11.79675
419,57.60755,11.79675
420,57.60715,11.79675
421,57.71155,10.62775
422,57.60695,11.79675
423,57.60655,11.79675
424,57.71165,10.62775
425,57.60615,11.79675
426,57.60565,11.79325
427,57.60515,11.79325
428,57.71185,10.62425
429,57.60475,11.79325
430,57.71195,10.62425
431,57.60435,11.79325
432,57.60415,11.79325
433,57.60395,11.79325
434,57.71205,10.62075
435,57.69885,11.66725
436,57.60395,11.78975
437,57.71215,10.62075
438,57.60385,11.78975
439,57.71215,10.61725
440,57.71225,10.61725
441,57.60355,11.78975
442,57.71235,10.61375
443,57.60295,11.78975
444,57.60245,11.78975
445,57.71245,10.61025
446,57.60165,11.79325
447,57.60095,11.79325
448,57.60035,11.79325
449,54.36885,10.17975
450,54.49705,10.29175
451,56.05745,12.62975
452,57.60005,11.79325
453,57.59995,11.79325
454,56.97915,8.92325
455,57.59985,11.79325
456,55.97745,11.03025
457,54.49665,10.28825
458,57.71275,10.60675
459,55.97805,11.03025
460,56.05735,12.62625
461,55.05995,8.53825
462,56.97985,8.91975
463,57.71275,10.60325
464,54.15545,12.09425
465,56.98025,8.91975
466,56.05725,12.62625
467,55.06055,8.54175
468,57.71285,10.60325
469,54.36945,10.18325
470,56.98075,8.91975
471,55.97995,11.03375
472,57.71305,10.59975
473,54.36975,10.18325
474,55.06255,8.54525
475,57.71315,10.59975
476,54.15435,12.09425
477,54.36995,10.18325
478,57.71345,10.59625
479,55.98165,11.03725
480,57.62385,11.81075
481,57.71385,10.59625
482,54.15405,12.09425
483,54.49875,10.27425
484,55.98285,11.03725
485,57.71425,10.59275
486,57.62505,11.81075
487,55.06615,8.55225
488,54.15405,12.09775
489,55.06695,8.55225
490,54.49945,10.27425
491,55.06775,8.55575
492,57.71535,10.59275
493,57.69905,11.66725
494,54.15445,12.09775
495,55.06855,8.55575
496,57.71595,10.59625
497,55.06975,8.55925
498,55.07015,8.55925
499,57.71655,10.59625
500,57.71685,10.59625
501,55.07135,8.56275
502,54.15555,12.10125
503,55.07225,8.56275
504,57.71775,10.59975
505,56.97995,8.91975
506,54.15615,12.10125
507,55.07355,8.56625
508,56.97965,8.91975
509,54.15645,12.10125
510,55.07405,8.56625
511,57.70185,11.67775
512,54.73085,8.68875
513,54.34525,9.75625
514,54.34465,9.75625
515,54.34425,9.75625
516,54.34375,9.75625
517,54.34345,9.75275
518,54.34285,9.75275
519,54.34265,9.75275
520,54.34215,9.75275
521,54.34165,9.74925
522,54.34115,9.74925
523,54.34095,9.74925
524,54.34025,9.74925
525,54.33975,9.74575
526,54.33945,9.74575
527,54.33865,9.74575
528,54.33815,9.74225
529,54.34395,9.75275
530,54.34315,9.75275
531,54.34295,9.75275
532,54.34275,9.75275
533,54.34225,9.74925
534,54.34195,9.74925
535,54.34175,9.74925
536,54.34145,9.74925
537,54.34125,9.74925
538,54.34075,9.74925
539,54.34065,9.74925
540,54.33675,9.74225
541,54.33595,9.73875
542,54.33535,9.73875
543,54.33505,9.73875
544,54.33455,9.73525
545,54.33415,9.73525
546,54.33355,9.73525
547,54.33285,9.73175
548,54.33435,9.73525
549,55.08675,8.56975
550,57.70305,11.94725
551,55.08445,8.57325
552,57.65135,11.80725
553,54.56725,11.69525
554,56.97975,8.91975
555,54.56685,11.69175
556,57.64985,11.80725
557,56.97875,8.92325
558,56.97795,8.92325
559,55.07145,8.56275
560,54.60195,11.27525
561,54.34815,9.76325
562,54.34785,9.75975
563,54.34735,9.75975
564,54.59955,11.27175
565,54.34705,9.75975
566,54.34645,9.75975
567,54.59785,11.26825
568,54.34615,9.75975
569,54.59735,11.26825
