COURSEOVERGROUND,EVENTCERTAINTY,LATITUDE,LONGITUDE,POSITIONINTERPOLATED,SPEEDOVERGROUND,VESSEL_ID,Timestamp,DelSpeed,DelHeading,DelTime
83.09999847,0,56.03309,12.6172284,True,0.0,7,1398308747,0.0,-222.50000763,10
83.09999847,0,56.03309,12.6172268,True,0.0,7,1398308757,0.0,0.0,10
83.09999847,0,56.03309,12.6172252,True,0.0,7,1398308767,0.0,0.0,10
83.09999847,0,56.03309,12.617225,False,0.0,7,1398308769,0.0,0.0,2
340.3999939,0,56.03309,12.61722333,False,0.0,7,1398308787,0.0,257.29999543,18
354.1000061,0,56.03309,12.617225,False,0.0,7,1398308797,0.0,13.7000122,10
123.0999985,3,54.52771333,11.25366333,False,2.400000095,7,1398308916,2.400000095,-231.0000076,119
123.0999985,3,54.52771333,11.25366333,False,2.400000095,7,1398308916,0.0,0.0,0
249.6000061,3,54.48976333,10.27665833,False,1.200000048,7,1398308932,-1.200000047,126.5000076,16
129.6999969,3,56.97937667,8.920945,False,6.199999809,7,1398308933,4.999999761,-119.9000092,1
129.6999969,3,56.97937667,8.920945,False,6.199999809,7,1398308933,0.0,0.0,0
122.5999985,2,54.52752333,11.25415333,False,2.599999905,7,1398308946,-3.599999904,-7.0999984,13
122.5999985,3,54.52752333,11.25415333,False,2.599999905,7,1398308946,0.0,0.0,0
24.20000076,2,54.62341,11.31808833,False,8.0,7,1398308954,5.400000095,-98.39999774,8
141.8999939,3,56.97863167,8.922188333,False,6.800000191,7,1398308965,-1.199999809,117.69999314,11
141.8999939,3,56.97863167,8.922188333,False,6.800000191,7,1398308965,0.0,0.0,0
147.6999969,3,56.97833,8.922495,False,7.099999905,7,1398308976,0.299999714,5.800003,11
147.6999969,3,56.97833,8.922495,False,7.099999905,7,1398308976,0.0,0.0,0
149.1999969,3,56.53013167,11.184925,False,16.89999962,7,1398308994,9.799999715,1.5,18
177.6999969,3,56.97630833,8.923276667,False,7.5,7,1398309033,-9.39999962,28.5,39
177.6999969,3,56.97630833,8.923276667,False,7.5,7,1398309033,0.0,0.0,0
120.6999969,3,54.52689667,11.25591333,False,2.5,7,1398309046,-5.0,-57.0,13
120.6999969,3,54.52689667,11.25591333,False,2.5,7,1398309046,0.0,0.0,0
